Titulo,Sku,Precio original,Precio Descuento,Precio Envio,Stock
"Disco Duro para Servidor Western Digital WD Ultrastar 4TB SATA III 7200RPM 3.5"" 6 Gbit/s",0B35950,"$4,615.00","$2,929.00",$99.00,2
"Monitor BenQ GW2280 LED 21.5'', Full HD, HDMI, Negro",9H.LH4LB.QBL,"$2,330.00","$1,979.00",$149.00,64
"Procesador Intel Core i3-10105F, S-1200, 3.70GHz, Quad-Core, 6MB Smart Cache (10ma Generación - Comet Lake)",BX8070110105F,"$1,370.00","$1,179.00",$99.00,489
"Multifuncional Brother DCP-T520W InkBenefit Tank, Color, Inyección, Tanque de Tinta, Inalámbrico, Print/Scan/Copy",DCP-T520W,"$4,260.00","$3,269.00",$154.00,73
"SSD XPG GAMMIX S11 Pro, 512GB, PCI Express 3.0 x4, M.2",AGAMMIXS11P-512GT-C,$702.00,$569.00,$99.00,33
"Monitor Gamer ASUS VA24DQ LED 23.8"", Full HD, FreeSync, 75Hz, HDMI, Bocinas Integradas (2 x 2W), Negro",90LM0543-B013B0,"$3,180.00","$2,669.00",$154.00,3
"SSD Adata Ultimate SU630 QLC 3D, 960GB, SATA, 2.5"", 7mm",ASU630SS-960GQ-R,$728.00,$599.00,$99.00,1011
"Tripp Lite Adaptador USB 3.0 SuperSpeed - SATA / IDE, para Discos Duros de 2.5''/3.5''/5.25''",338-06N,$699.00,$579.00,Envío gratis,9
"Mouse Gamer ASUS Óptico ROG KERIS P509, Alámbrico, USB, 16000DPI, Negro",90MP01R0-B0UA00,$757.00,$619.00,Envío gratis,138
"Mouse Logitech Óptico POP, Inalámbrico, 4000DPI, Violeta/Menta",910-006550,$597.00,$469.00,$99.00,¡1
"Laptop Gamer Lenovo Legion 5 15IAH7H 15.6"" Full HD, Intel Core i5-12500H 3.30GHz, 8GB, 1TB SSD, NVIDIA GeForce RTX 3060, Windows 11 Home 64-bits, Español, Gris",82RB00PBLM,"$25,480.00","$20,629.00",$99.00,171
"Monitor BenQ GW2283 LED 21.5"", Full HD, HDMI, Bocinas Integradas (2 x 2W), Negro",9H.LHLLA.TBL,"$2,159.00","$1,879.00",Envío gratis,19
"Fuente de Poder AORUS P1200W 80 PLUS Platinum, 20+4 pin ATX, 140mm, 1200W",GP-AP1200PM,"$6,021.00","$4,909.00",Envío gratis,5
"Monitor Gamer Balam Rush Odissey LED 23.8"" Full HD, FreeSync, 144Hz, HDMI, Negro",BR-932417,"$3,210.00","$2,439.00",$144.00,17
"Logitech Webcam HD Pro C920 con Micrófono, Full HD, 1920 x 1080 Pixeles, USB 2.0, Negro",960-000764,"$1,204.00",$909.00,$99.00,237
"Vorago Silla Gamer CGC500, hasta 120kg, Negro/Azul",CGC-500/BL,"$3,517.00","$2,919.00",$319.00,15
"Teclado Logitech MX Mechanical Mini TKL, Inalámbrico, Bluetooth, Grafito (Español)",920-010846,"$3,013.00","$2,679.00",$99.00,2
"Laptop Gamer Acer Predator Triton 300 SE PT314-52S-747P 14"" WUXGA, Intel Core i7-12700H 3.50GHz, 16GB, 512GB SSD, NVIDIA GeForce RTX 3060, Windows 11 Home 64-bit, Inglés, Gris",NH.QHMAA.001,"$25,041.00","$21,619.00",$99.00,57
"Astro Gaming Audífonos Gamer A10 para PS4/PS5/Xbox/PC/Mac, Alámbrico, 3.5mm, Negro/Azul",939-001594,"$1,022.00",$869.00,$99.00,74
"Memoria Flash SanDisk para Nintendo Switch, 128GB MicroSDXC Clase 3",DSQXAO-128G-GNCZN,$489.00,$356.00,$99.00,110
"Teclado Logitech Touch K400 Plus, Inalámbrico, USB, Negro (Español)",920-007123,$837.00,$649.00,$99.00,168
"SSD Crucial MX500, 500GB, SATA III, 2.5""",CT500MX500SSD1,$802.00,$669.00,$99.00,2
"Logitech Bocina Z625 con Subwoofer, Alámbrico, 2.1, 70W RMS, Entrada Óptica, Negro",980-001258,"$4,757.00","$3,809.00",$144.00,7
"Mouse Logitech Óptico POP, Inalámbrico, Bluetooth, 4000DPI, Rosa Coral",910-006551,$648.00,$469.00,$99.00,¡1
"Disco Duro para Laptop Toshiba L200 2.5'', 1TB, SATA III, 6Gbit/s, 5400RPM, 128MB Cache",HDWL110UZSVA,$816.00,$669.00,$99.00,31
"Disco Duro para Videovigilancia Western Digital WD Purple Surveillance 3.5"", 3TB, SATA III, 6 Gbit/s, 5400 RPM, 64MB Caché",WD33PURZ,"$1,990.00","$1,489.00",$99.00,8
"MSI MAG CoreLiquid P240 Enfriamiento Líquido para CPU, 2x 120mm, 500 - 2000RPM",MAG CORELIQUID P240,"$1,766.00","$1,389.00",$99.00,88
"DSC Gabinete para Panel de Control GMX003, Beige, para  PC1832/HS2032/HS2128",GMX-003,$571.00,$392.00,$99.00,941
"Monitor AOC Essential-line 20E1H LED 19.5"", HD, Negro",20E1H,"$2,122.00","$1,439.00",$154.00,47
"Teclado Logitech Pop Keys, Teclado Mecánico, Inalámbrico, Menta/Violeta/Blanco/Amarillo (Español)",920-010714,"$1,805.00","$1,399.00",$99.00,2
"SSD SanDisk Plus, 240GB, SATA III, 2.5'', 7mm",DSSDA-240G-G26,$936.00,$749.00,$99.00,22
"Mouse Gamer Ergonómico EVGA Óptico X20, Inalámbrico, Bluetooth/USB-A, 16000DPI, Negro",903-T1-20BK-K3,"$1,578.00","$1,059.00",$99.00,183
"Teclado Gamer Logitech G213 Prodigy LED RGB, Alámbrico, Negro, (Inglés)",920-008084,"$1,151.00",$909.00,$99.00,2
"Disco Duro Interno Toshiba L200 2.5"", 2TB, SATAIII, 6 Gbit/s, 5400RPM, 128MB Caché",HDWL120UZSVA,"$1,277.00","$1,069.00",$99.00,15
"Tóner Brother TN-336 Negro, 4000 Páginas",TN336BK,"$2,224.00","$1,389.00",$99.00,16
"Game Factor Audífonos Gamer HSG500, Alámbrico, 1.5 Metros, 3.5mm, Negro",HSG500,$510.00,$384.00,$99.00,8
"Procesador Intel Core i3-12100F, S-1700, 3.30GHz, Quad-Core, 12MB Smart Cache (12va.  Generación - Golden Cove)",BX8071512100F,"$1,864.00","$1,689.00",$99.00,11
"SSD Western Digital WD Blue SA510, 1TB, SATA III, 2.5'', 7mm",WDS100T3B0A,"$1,213.00","$1,029.00",Envío gratis,113
"Procesador AMD Ryzen 9 5950X, S-AM4, 3.40GHz, 8MB L3 Cache - no incluye Disipador",100-100000059WOF,"$9,076.00","$7,999.00",$99.00,3
"SSD XPG SX6000 Pro, 1TB, PCI Express 3.0, M.2",ASX6000PNP-1TT-C,"$1,033.00",$759.00,$99.00,20
